epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.672,3.56718,3.62032,3.27465,0.5059,0.01765,0.00307,0.00091,3.27861,4.28513,3.05351,0.0670702,0.000165476,0.000165476
2,223.906,3.32536,3.262,2.92851,0.28221,0.09223,0.03521,0.01154,3.00667,3.33034,2.87241,0.033897,0.000325566,0.000325566
3,325.82,3.04205,3.10705,2.81018,0.60087,0.15294,0.08126,0.02581,2.80757,3.19015,2.78558,0.000717152,0.000479057,0.000479057
4,403.492,2.88382,3.00383,2.71052,0.20657,0.17647,0.16997,0.06263,2.70574,2.7456,2.66086,0.0004703,0.0004703,0.0004703
5,491.763,2.77352,2.88705,2.62249,0.46383,0.24062,0.25943,0.1009,2.64734,2.74651,2.61492,0.0004604,0.0004604,0.0004604
6,588.708,2.6927,2.79347,2.55559,0.35695,0.32402,0.31072,0.12655,2.54865,2.70486,2.54345,0.0004505,0.0004505,0.0004505
7,664.671,2.61868,2.7221,2.50842,0.39104,0.32332,0.28175,0.10675,2.51139,2.48807,2.50644,0.0004406,0.0004406,0.0004406
8,743.86,2.59734,2.67134,2.48352,0.32022,0.37986,0.30149,0.11856,2.48511,2.4957,2.49378,0.0004307,0.0004307,0.0004307
9,823.244,2.53547,2.60044,2.44213,0.57361,0.3492,0.38697,0.15419,2.44519,2.50078,2.43052,0.0004208,0.0004208,0.0004208
10,903.645,2.4973,2.53125,2.40099,0.42187,0.41618,0.39989,0.15777,2.39726,2.30078,2.41484,0.0004109,0.0004109,0.0004109
11,984.477,2.45327,2.49922,2.38078,0.48917,0.40719,0.40868,0.17109,2.36393,2.36138,2.37677,0.000401,0.000401,0.000401
12,1061.5,2.42425,2.44003,2.34313,0.51743,0.40644,0.42614,0.18523,2.32939,2.24278,2.34958,0.0003911,0.0003911,0.0003911
13,1137.28,2.40091,2.40584,2.32545,0.41827,0.42759,0.36877,0.15631,2.30483,2.23199,2.34236,0.0003812,0.0003812,0.0003812
14,1212.84,2.39054,2.36613,2.30002,0.5231,0.39881,0.42949,0.18447,2.31931,2.141,2.31687,0.0003713,0.0003713,0.0003713
15,1288.86,2.37758,2.3488,2.3063,0.49288,0.41611,0.42791,0.18615,2.31499,2.14404,2.32849,0.0003614,0.0003614,0.0003614
16,1364.87,2.34375,2.33956,2.28421,0.49935,0.46338,0.45364,0.19263,2.29766,2.15627,2.32417,0.0003515,0.0003515,0.0003515
17,1441.35,2.33081,2.30175,2.27968,0.58012,0.46605,0.49546,0.2112,2.26602,2.0721,2.30772,0.0003416,0.0003416,0.0003416
18,1516.9,2.29849,2.25534,2.24439,0.58949,0.4741,0.50442,0.21019,2.24902,2.00527,2.271,0.0003317,0.0003317,0.0003317
19,1593.59,2.3088,2.24402,2.25081,0.65787,0.46616,0.52371,0.23054,2.2257,2.0075,2.25752,0.0003218,0.0003218,0.0003218
20,1669.07,2.28196,2.21884,2.24202,0.53791,0.47856,0.48505,0.21426,2.24366,2.03563,2.27139,0.0003119,0.0003119,0.0003119
21,1746.76,2.258,2.19319,2.21804,0.58102,0.46189,0.51081,0.21429,2.24329,2.07993,2.26481,0.000302,0.000302,0.000302
