epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,442.337,4.01988,0.39341,0.672,3.1913,4.62233e-05,4.62233e-05,4.62233e-05
2,859.485,2.38329,0.74871,0.944,1.16339,8.95022e-05,8.95022e-05,8.95022e-05
3,1261.63,1.00774,0.87482,0.97976,0.51851,0.000129723,0.000129723,0.000129723
4,1661.98,0.57552,0.91812,0.98965,0.31856,0.000125239,0.000125239,0.000125239
5,2069.49,0.41997,0.94165,0.99153,0.24236,0.000120652,0.000120652,0.000120652
6,2462.9,0.3485,0.95388,0.99435,0.18404,0.000116065,0.000116065,0.000116065
7,2868.62,0.2908,0.96235,0.99435,0.14698,0.000111478,0.000111478,0.000111478
8,3268.47,0.27027,0.96471,0.99388,0.14331,0.000106891,0.000106891,0.000106891
9,3665.9,0.23308,0.968,0.99529,0.12242,0.000102304,0.000102304,0.000102304
10,4064.61,0.21081,0.96706,0.99529,0.11819,9.7717e-05,9.7717e-05,9.7717e-05
11,4467.29,0.19936,0.96612,0.99718,0.10693,9.313e-05,9.313e-05,9.313e-05
12,4868.64,0.18318,0.97318,0.99671,0.09572,8.8543e-05,8.8543e-05,8.8543e-05
13,5279.1,0.16717,0.97553,0.99624,0.09264,8.3956e-05,8.3956e-05,8.3956e-05
14,5683.11,0.16226,0.97506,0.99718,0.08376,7.9369e-05,7.9369e-05,7.9369e-05
15,6085.23,0.15786,0.97929,0.99765,0.07264,7.4782e-05,7.4782e-05,7.4782e-05
16,29864.1,0.15096,0.97694,0.99765,0.07583,7.0195e-05,7.0195e-05,7.0195e-05
17,30317.2,0.14423,0.98118,0.99624,0.07001,6.5608e-05,6.5608e-05,6.5608e-05
18,30702.6,0.14349,0.97882,0.99671,0.06779,6.1021e-05,6.1021e-05,6.1021e-05
19,31093.8,0.13593,0.98071,0.99718,0.07767,5.6434e-05,5.6434e-05,5.6434e-05
20,31487.5,0.12964,0.97835,0.99765,0.06581,5.1847e-05,5.1847e-05,5.1847e-05
21,31875.9,0.12059,0.98118,0.99765,0.0602,4.726e-05,4.726e-05,4.726e-05
22,32279,0.12296,0.97741,0.99718,0.06346,4.2673e-05,4.2673e-05,4.2673e-05
23,32676.7,0.12262,0.97835,0.99718,0.06519,3.8086e-05,3.8086e-05,3.8086e-05
24,33080.7,0.11996,0.98306,0.99765,0.05801,3.3499e-05,3.3499e-05,3.3499e-05
25,33483.3,0.11942,0.98071,0.99718,0.06103,2.8912e-05,2.8912e-05,2.8912e-05
26,33878.5,0.11918,0.98212,0.99671,0.06331,2.4325e-05,2.4325e-05,2.4325e-05
27,34281.6,0.10779,0.98259,0.99812,0.05805,1.9738e-05,1.9738e-05,1.9738e-05
28,34677.1,0.10715,0.98212,0.99812,0.05643,1.5151e-05,1.5151e-05,1.5151e-05
29,35076.1,0.10909,0.98071,0.99859,0.05704,1.0564e-05,1.0564e-05,1.0564e-05
30,35475,0.11505,0.98118,0.99812,0.05517,5.977e-06,5.977e-06,5.977e-06
